nfsidmap 2.6.1-1
ninja 1.10.2-1
nmap 7.92-1
node-gyp 9.0.0-1
nodejs 17.7.2-1
nodejs-nopt 5.0.0-2
npm 8.1.4-1
npth 1.6-3
nspr 4.33-1
nss 3.76-1
ntfs-3g 2021.8.22-1
ntp 4.2.8.p15-1
ntp-runit 20210301-3
numactl 2.0.14-1
nvidia-dkms 510.54-1
nvidia-utils 510.54-1
nvtop 1.2.2-1
obfs4proxy 0.0.13-1
ocl-icd 2.3.1-1
onednn 2.5.2-1
onefetch 2.11.0-2
oniguruma 6.9.7.1-2
openal 1.21.1-3.1
openbsd-netcat 1.218_2-1
opencolorio 2.1.1-2
opencore-amr 0.1.5-5
opencv 4.5.5-3
opendoas 6.8.2-1
openexr 3.1.4-1
openjpeg2 2.4.0-1
openmp 13.0.1-1
openmpi 4.1.2-1
openssh 8.9p1-1
openssh-runit 20180429-4
openssl 1.1.1.n-1
openvpn 2.5.6-1
openvpn-runit 20180623-3
opus 1.3.1-3
orage-git 4.12.1.r644.g27f9cb43-1
orc 0.4.32-1
os-prober 1.79-1
osinfo-db 20220214-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
pacman 6.0.1-4
pahole 1.23-1
pam 1.5.2-1
pambase 20211210-1
pamixer 1.5-3
pandoc-bin 2.17.1-1
pango 1:1.50.5-1
pangomm 2.46.2-1
papirus-icon-theme 20220302-1
parallel 20220222-1
parted 3.4-2
patch 2.7.6-9.1
pavucontrol 1:5.0-1
pciutils 3.7.0-2
pcre 8.45-1
pcre2 10.39-1
peek 1.5.1-3
perl 5.34.0-3
perl-clone 0.45-3
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-file-listing 6.14-2
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.13-1
perl-http-date 6.05-4
perl-http-message 6.36-1
perl-http-negotiate 6.01-9
perl-io-html 1.004-2
perl-libwww 6.58-1
perl-lwp-mediatypes 6.04-1
perl-mailtools 2.21-5
perl-net-http 6.22-1
perl-timedate 2.33-3
perl-try-tiny 0.31-1
perl-uri 5.10-1.1
perl-www-robotrules 6.02-9
perl-xml-parser 2.46-3
phantomjs-bin 2.1.1-2
phodav 2.5-1
pinentry 1.2.0-1
pixman 0.40.0-1.1
pkcs11-helper 1.28.0-1
pkgconf 1.8.0-1
polkit 0.120-5
polkit-gnome 0.105-8
polkit-qt5 0.114.0-1
poppler 22.03.0-1
poppler-data 0.4.11-1
poppler-glib 22.03.0-1
popt 1.18-3
postgresql 13.6-1
postgresql-libs 13.6-1
postgresql-runit 20210203-2
postman-bin 9.1.3-1
potrace 1.16-2.1
powertop 2.14-1
ppp 2.4.9-1
privoxy 3.0.33-1
privoxy-runit 20180314-5
procps-ng 3.3.17-1
protobuf 3.19.4-1
proxychains-ng 4.16-1
psmisc 23.4-1.1
pulseaudio 15.0-4
pulseaudio-alsa 1:1.2.6-3
pybind11 2.9.1-1
pystring 1.1.3.git1-1
python 3.10.2-1
python-anyio 3.5.0-1
python-anytree 2.8.0-5
python-appdirs 1.4.4-6
python-argcomplete 2.0.0-1
python-attrs 21.4.0-1
python-beaker 1.11.0-8
python-beautifulsoup4 4.10.0-1
python-cachecontrol 1:0.12.6-4
python-cairo 1.21.0-1
python-certifi 2021.10.8-3
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-charset-normalizer 2.0.10-2
python-click 8.0.4-1
python-colorama 0.4.4-6
python-commonmark 0.9.1-5
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.1-1
python-cycler 0.11.0-1
python-dateutil 2.8.2-4
python-decorator 5.1.1-1
python-distlib 0.3.4-1
python-distro 1.7.0-1
python-dnspython 1:2.2.0-1
python-docopt 0.6.2-11
python-docutils 1:0.16-2
python-dotty-dict 1.3.0-5
python-entrypoints 0.4-1
python-fonttools 4.31.1-1
python-future 0.18.2-7
python-gobject 3.42.0-3
python-h11 0.12.0-3
python-halo 0.0.31-4
python-hid 1.0.4-7
python-hjson 3.0.2-5
python-html5lib 1.1-11
python-httpcore 0.14.7-1
python-httpx 0.22.0-1
python-idna 3.3-4
python-importlib-metadata 4.8.1-3
python-injector 0.18.4-1
python-jeepney 0.7.1-3
python-jinja 3.0.3-3
python-jsonschema 3.2.0-6
python-keyring 23.4.0-1
python-kitchen 1.2.6-5
python-kiwisolver 1.3.2-3
python-log_symbols 0.0.14-4
python-lxml 4.7.1-1
python-mako 1.1.6-3
python-markdown 3.3.6-3
python-markupsafe 2.0.1-3
python-matplotlib 3.5.1-2.1
python-milc 1.6.5-3
python-more-itertools 8.12.0-1
python-msgpack 1.0.3-1
python-numpy 1.22.3-1
python-ordered-set 4.0.2-6
python-packaging 20.9-7
python-peewee 3.14.10-1
python-pep517 0.12.0-4
python-pillow 9.0.1-1
python-pip 21.0-1
python-ply 3.11-10
python-progress 1.6-5
python-protobuf 3.19.4-1
python-psutil 5.9.0-1
python-py3nvml 0.2.6-1
python-pycparser 2.21-3
python-pygments 2.11.2-1
python-pyopenssl 21.0.0-5
python-pyparsing 3.0.2-1
python-pyqt5 5.15.6-7
python-pyqt5-sip 12.9.1-1
python-pyrsistent 0.18.1-1
python-pythondialog 3.5.3-1
python-pytorch 1.11.0-1
python-pyusb 1.2.1-3
python-pyxdg 0.27-4
python-requests 2.27.1-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-rfc3986 1.5.0-3
python-rich 11.2.0-1
python-rx 3.2.0-3
python-secretstorage 3.3.1-3
python-setuptools 1:59.3.0-1
python-shtab 1.5.3-1
python-six 1.16.0-5
python-sniffio 1.2.0-5
